constituency,party,slNo,criminal,incumbent,symbol,name,gender,id,education,age,image,profession,assets,minister,alliance,acNo
Gummidipoondi,DMK,1,0,False,Rising sun,T.J.Govindarajan,Male,90001,10th Grade (SSLC),65,,,₹7.57 Cr,,spa,1
Gummidipoondi,AIADMK,2,0,False,Two leaves,Sudhakar.V,Male,90002,12th Grade (HSC / +2),40,,,₹5.62 Cr,,nda,1
Gummidipoondi,BSP,3,0,False,Elephant,M.Jagadeesan,Male,90003,Bachelor's Degree,34,,,₹12.40 L,,others,1
Gummidipoondi,NTK,4,0,False,Farmer Carrying Plough,R.Sridar. B.L,Male,90004,Bachelor's Degree,54,,,₹1.10 Cr,,ntk,1
Gummidipoondi,AJPK,5,0,False,Gas cylinder,Sdk Sankar,Male,90005,Bachelor's Degree,46,,,₹nan,,ajpk,1
Gummidipoondi,VTVTK,6,0,False,Pestle and mortar,K.Chandra Sekar,Male,90006,Not Specified,51,,,₹6.06 L,,others,1
Gummidipoondi,TVK,7,0,False,Whistle,S.Vijayakumar,Male,90007,Bachelor's Degree,56,,,₹1.15 Cr,,tvk,1
Gummidipoondi,IND,8,0,False,Diamond,M.Kumaran,Male,90008,Bachelor's Degree,44,,,₹2.35 L,,independent,1
Gummidipoondi,IND,9,0,False,Letter box,Gopal.K,Male,90009,10th Grade (SSLC),63,,,₹71.62 L,,independent,1
Gummidipoondi,IND,10,0,False,Ship,T.Govindan,Male,90010,10th Grade (SSLC),43,,,₹17.46 L,,independent,1
Gummidipoondi,IND,11,0,False,Batsman,A.H.Siva Ganesh,Male,90011,Master's Degree,43,,,₹6.80 Cr,,independent,1
Gummidipoondi,IND,12,0,False,Peas,D.Sudhakar,Male,90012,5th Grade,35,,,₹5.21 L,,independent,1
Gummidipoondi,IND,13,0,False,Water melon,V.Sudhakar,Male,90013,8th Grade,40,,,"₹35,400",,independent,1
Gummidipoondi,IND,14,0,False,Road roller,D.Dinesh,Male,90014,Master's Degree,42,,,₹2.62 Cr,,independent,1
Gummidipoondi,IND,15,0,False,Crane,G.Ranjith,Male,90015,Bachelor's Degree,25,,,₹4.67 L,,independent,1
Ponneri,INC,1,0,True,Hand,Durai Chandrasekar,Male,90016,Bachelor's Degree,53,,,₹1.42 Cr,,spa,2
Ponneri,BSP,2,0,False,Elephant,Santhoshkumar.J,Male,90017,Master's Degree,46,,,₹22.65 L,,others,2
Ponneri,AIADMK,3,0,False,Two leaves,Balaraman.P,Male,90018,Master's Degree,64,,,₹1.89 Cr,,nda,2
Ponneri,NTK,4,0,False,Farmer Carrying Plough,Rajathi.M,Female,90019,Bachelor's Degree,34,,,₹16.00 L,,ntk,2
Ponneri,DMSK,5,0,False,Football player,Ashok Priyadarshan,Male,90020,Master's Degree,47,,,"₹30,000",,others,2
Ponneri,VBA,6,0,False,Gas cylinder,Raja.S,Male,90021,Doctorate (Ph.D / MD),46,,,₹69.71 L,,others,2
Ponneri,TAVK,7,0,False,Camera,Kotteeswaran. K,Male,90022,10th Grade (SSLC),44,,,"₹44,370",,others,2
Ponneri,TMMK,8,0,False,Matchbox,Malathi.S,Female,90023,12th Grade (HSC / +2),28,,,₹7.25 L,,others,2
Ponneri,TVK,9,0,False,Whistle,Dr.Ravi.M.S,Male,90024,Not Specified,67,,,₹5.04 Cr,,tvk,2
Ponneri,IND,10,0,False,Batsman,Nagaiyan.G,Male,90025,10th Grade (SSLC),48,,,₹51.72 L,,independent,2
Ponneri,IND,11,0,False,Brush,Barathiraja.K,Male,90026,10th Grade (SSLC),39,,,₹7.57 L,,independent,2
Ponneri,IND,12,0,False,Pen drive,Rajasekar.J,Male,90027,Bachelor's Degree,36,,,₹3.39 L,,independent,2
