gender,acNo,age,symbol,incumbent,criminal,slNo,minister,alliance,party,profession,image,assets,name,id,education
Male,1,65,Rising sun,False,0,1,,spa,DMK,,,₹7.57 Cr,T.J.Govindarajan,90001,10th Grade (SSLC)
Male,1,40,Two leaves,False,0,2,,nda,AIADMK,,,₹5.62 Cr,Sudhakar.V,90002,12th Grade (HSC / +2)
Male,1,34,Elephant,False,0,3,,others,BSP,,,₹12.40 L,M.Jagadeesan,90003,Bachelor's Degree
Male,1,54,Farmer Carrying Plough,False,0,4,,ntk,NTK,,,₹1.10 Cr,R.Sridar. B.L,90004,Bachelor's Degree
Male,1,46,Gas cylinder,False,0,5,,ajpk,AJPK,,,₹nan,Sdk Sankar,90005,Bachelor's Degree
Male,1,51,Pestle and mortar,False,0,6,,others,VTVTK,,,₹6.06 L,K.Chandra Sekar,90006,Not Specified
Male,1,56,Whistle,False,0,7,,tvk,TVK,,,₹1.15 Cr,S.Vijayakumar,90007,Bachelor's Degree
Male,1,44,Diamond,False,0,8,,independent,IND,,,₹2.35 L,M.Kumaran,90008,Bachelor's Degree
Male,1,63,Letter box,False,0,9,,independent,IND,,,₹71.62 L,Gopal.K,90009,10th Grade (SSLC)
Male,1,43,Ship,False,0,10,,independent,IND,,,₹17.46 L,T.Govindan,90010,10th Grade (SSLC)
Male,1,43,Batsman,False,0,11,,independent,IND,,,₹6.80 Cr,A.H.Siva Ganesh,90011,Master's Degree
Male,1,35,Peas,False,0,12,,independent,IND,,,₹5.21 L,D.Sudhakar,90012,5th Grade
Male,1,40,Water melon,False,0,13,,independent,IND,,,"₹35,400",V.Sudhakar,90013,8th Grade
Male,1,42,Road roller,False,0,14,,independent,IND,,,₹2.62 Cr,D.Dinesh,90014,Master's Degree
Male,1,25,Crane,False,0,15,,independent,IND,,,₹4.67 L,G.Ranjith,90015,Bachelor's Degree
Male,2,53,Hand,True,0,1,,spa,INC,,,₹1.42 Cr,Durai Chandrasekar,90016,Bachelor's Degree
Male,2,46,Elephant,False,0,2,,others,BSP,,,₹22.65 L,Santhoshkumar.J,90017,Master's Degree
Male,2,64,Two leaves,False,0,3,,nda,AIADMK,,,₹1.89 Cr,Balaraman.P,90018,Master's Degree
Female,2,34,Farmer Carrying Plough,False,0,4,,ntk,NTK,,,₹16.00 L,Rajathi.M,90019,Bachelor's Degree
Male,2,47,Football player,False,0,5,,others,DMSK,,,"₹30,000",Ashok Priyadarshan,90020,Master's Degree
Male,2,46,Gas cylinder,False,0,6,,others,VBA,,,₹69.71 L,Raja.S,90021,Doctorate (Ph.D / MD)
Male,2,44,Camera,False,0,7,,others,TAVK,,,"₹44,370",Kotteeswaran. K,90022,10th Grade (SSLC)
Female,2,28,Matchbox,False,0,8,,others,TMMK,,,₹7.25 L,Malathi.S,90023,12th Grade (HSC / +2)
Male,2,67,Whistle,False,0,9,,tvk,TVK,,,₹5.04 Cr,Dr.Ravi.M.S,90024,Not Specified
Male,2,48,Batsman,False,0,10,,independent,IND,,,₹51.72 L,Nagaiyan.G,90025,10th Grade (SSLC)
Male,2,39,Brush,False,0,11,,independent,IND,,,₹7.57 L,Barathiraja.K,90026,10th Grade (SSLC)
Male,2,36,Pen drive,False,0,12,,independent,IND,,,₹3.39 L,Rajasekar.J,90027,Bachelor's Degree
Male,2,43,Water melon,False,0,13,,independent,IND,,,"₹4,338",Venkatesan.S,90028,Not Specified
