Constituency,Constituency_ID,Candidate_Name,Party,Age,Gender
Gummidipoondi,1,S. Suganya,DMK,60,Female
Gummidipoondi,1,V. Suganya,AIADMK,53,Female
Gummidipoondi,1,C. Rajini,NTK,43,Male
Gummidipoondi,1,T. Priya,INC,68,Female
Gummidipoondi,1,N. Karuppu,VCK,50,Male
Gummidipoondi,1,P. Ganesan,Independent,72,Male
Gummidipoondi,1,C. Senthil,Independent,30,Male
Gummidipoondi,1,M. Raja,Independent,54,Male
Gummidipoondi,1,M. Karthik,Independent,70,Male
Gummidipoondi,1,T. Sekar,Independent,30,Male
Gummidipoondi,1,V. Rajini,Independent,52,Male
Gummidipoondi,1,V. Chandran,Independent,58,Male
Gummidipoondi,1,S. Ashok,Independent,57,Male
Ponneri,2,D. Vasanthi,DMK,55,Female
Ponneri,2,K. Rajini,AIADMK,65,Male
Ponneri,2,V. Selvam,NTK,60,Male
Ponneri,2,M. Ashok,BJP,50,Male
Ponneri,2,M. Mani,INC,25,Male
Ponneri,2,T. Rajendran,PMK,48,Male
Ponneri,2,L. Gayathri,VCK,54,Female
Ponneri,2,V. Sekar,Independent,60,Male
Ponneri,2,B. Raja,Independent,45,Male
Ponneri,2,D. Natarajan,Independent,69,Male
Ponneri,2,L. Natarajan,Independent,36,Male
Ponneri,2,V. Kavitha,Independent,66,Female
Ponneri,2,V. Arun,Independent,31,Male
Ponneri,2,S. Vikram,Independent,53,Male
Ponneri,2,C. Priya,Independent,53,Female
Ponneri,2,C. Muthu,Independent,40,Male
Ponneri,2,B. Mani,Independent,67,Male
Ponneri,2,P. Vikram,Independent,25,Male
Ponneri,2,V. Surya,Independent,59,Male
Ponneri,2,E. Raja,Independent,30,Male
Tiruttani,3,S. Ganesan,DMK,34,Male
Tiruttani,3,J. Ganesan,AIADMK,25,Male
Tiruttani,3,R. Kavitha,NTK,28,Female
Tiruttani,3,P. Priya,BJP,26,Female
Tiruttani,3,N. Kannan,INC,53,Male
Tiruttani,3,D. Rajendran,PMK,54,Male
Tiruttani,3,G. Vikram,VCK,62,Male
Tiruttani,3,S. Senthil,Independent,54,Male
Tiruttani,3,C. Chandran,Independent,27,Male
Tiruttani,3,G. Ramesh,Independent,66,Male
Tiruttani,3,B. Natarajan,Independent,73,Male
Tiruttani,3,V. Karthik,Independent,33,Male
Tiruttani,3,J. Surya,Independent,35,Male
Tiruttani,3,G. Ganesan,Independent,42,Male
Tiruttani,3,S. Ajith,Independent,49,Male
Tiruttani,3,P. Sivakarthikeyan,Independent,41,Male
Tiruttani,3,S. Raja,Independent,54,Male
Tiruttani,3,V. Natarajan,Independent,32,Male
Thiruvallur,4,C. Moorthy,DMK,66,Male
Thiruvallur,4,G. Karthik,AIADMK,47,Male
Thiruvallur,4,P. Soundarya,NTK,68,Female
Thiruvallur,4,J. Rajini,BJP,64,Male
Thiruvallur,4,J. Raja,INC,61,Male
Thiruvallur,4,E. Kamal,PMK,75,Male
Thiruvallur,4,S. Dhanush,VCK,31,Male
Thiruvallur,4,P. Sivakarthikeyan,Independent,66,Male
Thiruvallur,4,N. Mani,Independent,62,Male
Thiruvallur,4,M. Balaji,Independent,35,Male
Thiruvallur,4,C. Murugan,Independent,51,Male
Thiruvallur,4,L. Perumal,Independent,25,Male
Thiruvallur,4,K. Karthik,Independent,44,Male
Thiruvallur,4,P. Balaji,Independent,74,Male
Thiruvallur,4,B. Chandran,Independent,45,Male
Thiruvallur,4,T. Sekar,Independent,68,Male
Thiruvallur,4,P. Selvam,Independent,49,Male
Thiruvallur,4,P. Suresh,Independent,72,Male
Thiruvallur,4,A. Raja,Independent,69,Male
Thiruvallur,4,D. Kannan,Independent,74,Male
Poonamallee,5,D. Dhanush,DMK,64,Male
Poonamallee,5,B. Surya,AIADMK,58,Male
Poonamallee,5,M. Karthik,NTK,52,Male
Poonamallee,5,P. Perumal,INC,49,Male
Poonamallee,5,S. Palani,Independent,74,Male
Poonamallee,5,A. Chandran,Independent,41,Male
Poonamallee,5,K. Karthik,Independent,26,Male
Poonamallee,5,V. Perumal,Independent,41,Male
Poonamallee,5,E. Suganya,Independent,30,Female
Poonamallee,5,B. Selvam,Independent,46,Male
Poonamallee,5,N. Suresh,Independent,67,Male
Poonamallee,5,K. Ashok,Independent,28,Male
Poonamallee,5,E. Kalpana,Independent,70,Female
Poonamallee,5,K. Soundarya,Independent,42,Female
Poonamallee,5,J. Arun,Independent,47,Male
Poonamallee,5,T. Ashok,Independent,75,Male
Poonamallee,5,M. Muthu,Independent,35,Male
Poonamallee,5,E. Rajendran,Independent,25,Male
Avadi,6,C. Kannan,DMK,48,Male
Avadi,6,L. Surya,AIADMK,70,Male
Avadi,6,A. Karuppu,NTK,69,Male
Avadi,6,B. Chandran,BJP,49,Male
Avadi,6,G. Kamal,INC,30,Male
Avadi,6,R. Senthil,PMK,60,Male
Avadi,6,B. Muthu,Independent,35,Male
Avadi,6,M. Raja,Independent,47,Male
Avadi,6,R. Muthu,Independent,72,Male
Avadi,6,V. Sekar,Independent,47,Male
Avadi,6,G. Karthik,Independent,36,Male
Avadi,6,E. Dhanush,Independent,26,Male
Avadi,6,A. Arun,Independent,29,Male
Avadi,6,J. Vikram,Independent,63,Male
Avadi,6,E. Kamal,Independent,45,Male
Avadi,6,C. Ganesan,Independent,41,Male
Avadi,6,D. Prakash,Independent,55,Male
Maduravoyal,7,P. Ajith,DMK,29,Male
Maduravoyal,7,C. Rajendran,AIADMK,74,Male
Maduravoyal,7,K. Dhanush,NTK,45,Male
Maduravoyal,7,N. Balaji,INC,71,Male
Maduravoyal,7,V. Chandran,PMK,45,Male
Maduravoyal,7,T. Palani,Independent,69,Male
Maduravoyal,7,P. Vasanthi,Independent,62,Female
Maduravoyal,7,E. Natarajan,Independent,72,Male
Maduravoyal,7,E. Sekar,Independent,42,Male
Maduravoyal,7,D. Balaji,Independent,42,Male
Maduravoyal,7,T. Selvam,Independent,34,Male
Maduravoyal,7,L. Palani,Independent,46,Male
Maduravoyal,7,D. Malathi,Independent,43,Female
Maduravoyal,7,R. Chandran,Independent,26,Male
Maduravoyal,7,N. Perumal,Independent,46,Male
Maduravoyal,7,V. Karuppu,Independent,52,Male
Maduravoyal,7,N. Suresh,Independent,50,Male
Maduravoyal,7,A. Mani,Independent,60,Male
Maduravoyal,7,E. Senthil,Independent,62,Male
Ambattur,8,A. Ramesh,DMK,73,Male
Ambattur,8,D. Mani,AIADMK,45,Male
Ambattur,8,J. Moorthy,NTK,57,Male
Ambattur,8,P. Ajith,BJP,60,Male
Ambattur,8,A. Kamal,INC,34,Male
Ambattur,8,K. Moorthy,PMK,38,Male
Ambattur,8,G. Kannan,VCK,30,Male
Ambattur,8,E. Kamal,Independent,26,Male
Ambattur,8,S. Ramesh,Independent,36,Male
Ambattur,8,K. Ashok,Independent,67,Male
Ambattur,8,N. Prakash,Independent,45,Male
Ambattur,8,L. Rajendran,Independent,45,Male
Ambattur,8,B. Rajendran,Independent,33,Male
Ambattur,8,P. Selvam,Independent,73,Male
Ambattur,8,P. Mani,Independent,57,Male
Ambattur,8,R. Kannan,Independent,38,Male
Ambattur,8,S. Vijay,Independent,71,Male
Ambattur,8,M. Ashok,Independent,64,Male
Ambattur,8,N. Rajendran,Independent,45,Male
Ambattur,8,P. Sivakarthikeyan,Independent,29,Male
Ambattur,8,G. Malathi,Independent,58,Female
Ambattur,8,R. Kamal,Independent,63,Male
Madavaram,9,J. Mani,DMK,74,Male
Madavaram,9,V. Lakshmi,AIADMK,60,Female
Madavaram,9,N. Arun,NTK,66,Male
Madavaram,9,J. Vikram,VCK,63,Male
Madavaram,9,E. Vikram,Independent,33,Male
Madavaram,9,B. Ramesh,Independent,42,Male
Madavaram,9,G. Surya,Independent,42,Male
Madavaram,9,P. Lakshmi,Independent,54,Female
Madavaram,9,B. Sivakarthikeyan,Independent,68,Male
Madavaram,9,V. Karthik,Independent,44,Male
Madavaram,9,P. Ajith,Independent,54,Male
Madavaram,9,S. Vikram,Independent,45,Male
Madavaram,9,B. Ashok,Independent,25,Male
Madavaram,9,P. Selvam,Independent,46,Male
Madavaram,9,G. Muthu,Independent,30,Male
Thiruvottiyur,10,V. Karuppu,DMK,48,Male
Thiruvottiyur,10,S. Sekar,AIADMK,54,Male
Thiruvottiyur,10,J. Deepa,NTK,65,Female
Thiruvottiyur,10,V. Ajith,BJP,38,Male
Thiruvottiyur,10,D. Ajith,PMK,47,Male
Thiruvottiyur,10,G. Rajini,Independent,36,Male
Thiruvottiyur,10,S. Muthu,Independent,52,Male
Thiruvottiyur,10,E. Mani,Independent,43,Male
Thiruvottiyur,10,R. Murugan,Independent,55,Male
Thiruvottiyur,10,L. Prakash,Independent,56,Male
Thiruvottiyur,10,D. Lakshmi,Independent,60,Female
